id,date,0.0
70415825,2016-04-17,0.8908
16530117,2014-07-28,0.9062
17528023,2014-08-13,0.915
17891072,2014-08-18,0.9324
18512908,2014-08-27,0.8402
18580692,2014-08-28,0.8987
18739513,2014-08-31,0.9577
18860013,2014-09-01,0.9557
19167747,2014-09-07,0.9832
19664265,2014-09-15,0.0
19753901,2014-09-17,0.9628
19995064,2014-09-21,0.9078
21421505,2014-10-17,0.9243
21537203,2014-10-19,0.9223
21881612,2014-10-26,0.9682
22230513,2014-11-02,0.9287
22411548,2014-11-05,0.9407
22558148,2014-11-09,0.9833
23119466,2014-11-23,0.9627
26576961,2015-02-15,0.9368
26747187,2015-02-18,0.969
27622134,2015-03-08,0.9571
29241062,2015-04-05,0.9523
30268000,2015-04-19,0.9688
34379114,2015-06-07,0.988
36074973,2015-06-24,0.8122
43442101,2015-08-19,0.9422
44388874,2015-08-25,0.7181
56450787,2015-12-13,0.9816
61739353,2016-02-07,0.9827
62659360,2016-02-15,0.9877
13334093,2014-05-25,0.9598
13453283,2014-05-27,0.9749
13712363,2014-06-02,0.9727
13938099,2014-06-08,0.9542
14001811,2014-06-09,0.9595
14316169,2014-06-16,0.9818
14416026,2014-06-18,0.9863
14453745,2014-06-19,0.9707
14499286,2014-06-20,0.931
14654579,2014-06-23,0.9874
14989095,2014-06-30,0.9796
15071915,2014-07-01,0.9149
15348687,2014-07-07,0.8996
15563650,2014-07-11,0.6808
15703705,2014-07-14,0.9128
15943126,2014-07-18,0.9792
16042310,2014-07-20,0.9313
16139285,2014-07-22,0.9772
16237747,2014-07-23,0.9861
16361367,2014-07-26,0.9732
16534554,2014-07-28,0.4576
16844672,2014-08-03,0.9873
24572540,2014-12-30,0.9648
39080478,2015-07-20,0.9022
40031333,2015-07-27,0.9763
40689046,2015-08-01,0.4404
42047116,2015-08-10,0.8433
42478163,2015-08-13,0.9978
43313421,2015-08-18,0.9933
24999722,2015-01-04,0.9785
27826074,2015-03-12,-0.3818
46947669,2015-09-14,0.9776
48003433,2015-09-22,0.9857
59631452,2016-01-13,0.9872
66308389,2016-03-21,0.978
68620859,2016-04-05,0.991
30655069,2015-04-25,0.8906
30828616,2015-04-27,0.9468
31380034,2015-05-04,0.975
31493069,2015-05-05,0.983
31980377,2015-05-12,0.9468
32581324,2015-05-19,0.9729
33008128,2015-05-24,0.9589
33269397,2015-05-26,0.9766
33611425,2015-05-30,0.9671
33942172,2015-06-02,0.0
34438649,2015-06-08,0.9796
34653949,2015-06-10,0.9485
34808243,2015-06-12,0.8095
34901765,2015-06-13,0.9801
35100136,2015-06-15,0.981
35480950,2015-06-19,0.9617
35809408,2015-06-22,0.9915
36540235,2015-06-29,0.9287
37074162,2015-07-04,0.9257
37319467,2015-07-06,0.988
38447767,2015-07-15,0.9833
38768963,2015-07-18,0.9722
39055129,2015-07-20,0.928
39392420,2015-07-23,0.9467
39852233,2015-07-26,0.969
39926692,2015-07-27,0.9837
40103607,2015-07-28,0.9297
40406486,2015-07-30,0.9902
40910660,2015-08-03,0.9533
41151056,2015-08-04,0.9791
41207221,2015-08-05,0.936
41510425,2015-08-07,0.9761
41688629,2015-08-08,0.9694
42031220,2015-08-10,0.7574
42431527,2015-08-13,0.9258
42638827,2015-08-14,0.8255
43652067,2015-08-21,0.9814
43884350,2015-08-22,0.9558
44713805,2015-08-28,0.9558
44867050,2015-08-29,0.9522
45107049,2015-08-31,0.9796
45450918,2015-09-02,0.9767
45712459,2015-09-05,0.9791
46143681,2015-09-08,0.9746
46451494,2015-09-10,0.9432
47235070,2015-09-16,0.9508
47399376,2015-09-18,0.9669
47595402,2015-09-20,0.9392
47724961,2015-09-21,0.9668
49137159,2015-10-01,0.906
49337759,2015-10-03,0.4404
49591721,2015-10-05,0.938
49957311,2015-10-07,0.9848
50252825,2015-10-10,0.943
50755654,2015-10-14,0.9902
50886970,2015-10-15,0.91
51274482,2015-10-19,0.9519
51621792,2015-10-22,0.865
51799048,2015-10-24,0.9781
52051420,2015-10-26,0.993
53144485,2015-11-05,0.9704
53630999,2015-11-10,0.9611
54419898,2015-11-19,0.9881
54710248,2015-11-23,0.9955
54799060,2015-11-23,0.9901
54874642,2015-11-25,0.6239
55420923,2015-12-01,0.9153
55952034,2015-12-07,0.9626
56269445,2015-12-11,0.9791
56335092,2015-12-12,0.9551
56609329,2015-12-15,0.9219
56742607,2015-12-17,0.9744
57155746,2015-12-22,0.9488
57296982,2015-12-24,0.9903
57935206,2015-12-30,0.8356
58055100,2015-12-31,0.9402
58304171,2016-01-02,0.9336
58846885,2016-01-05,0.9694
58986389,2016-01-05,0.9254
59572767,2016-01-12,0.9468
60444781,2016-01-23,0.9702
60620095,2016-01-25,0.8684
